[24-06-09 15:14:55 root] Namespace(dataset='CIFAR10', model='ResNet18', shared_model='LeNet', lr=0.0001, epochs=200, batch_size=256, leak_mode='sign', trainset='full')
[24-06-09 15:14:56 root] model size: 15826
[24-06-09 15:15:57 root] epoch: 0, train_loss: 0.09602399053573608, test_loss: 0.054492624926567076, best_test_loss: 0.054492624926567076
[24-06-09 15:16:45 root] epoch: 1, train_loss: 0.06107108393549919, test_loss: 0.07604755417108536, best_test_loss: 0.054492624926567076
[24-06-09 15:17:33 root] epoch: 2, train_loss: 0.04974565763831139, test_loss: 0.04654855912327766, best_test_loss: 0.04654855912327766
[24-06-09 15:18:21 root] epoch: 3, train_loss: 0.04726586984038353, test_loss: 0.044300300592184066, best_test_loss: 0.044300300592184066
[24-06-09 15:19:11 root] epoch: 4, train_loss: 0.04321246477365494, test_loss: 0.04242726235985756, best_test_loss: 0.04242726235985756
[24-06-09 15:19:58 root] epoch: 5, train_loss: 0.04183495749354362, test_loss: 0.04074711011052132, best_test_loss: 0.04074711011052132
[24-06-09 15:20:46 root] epoch: 6, train_loss: 0.03990983340501785, test_loss: 0.045304916673898694, best_test_loss: 0.04074711011052132
[24-06-09 15:21:32 root] epoch: 7, train_loss: 0.03824160380244255, test_loss: 0.04444097529053688, best_test_loss: 0.04074711011052132
[24-06-09 15:22:19 root] epoch: 8, train_loss: 0.03737982184290886, test_loss: 0.03671846643090248, best_test_loss: 0.03671846643090248
[24-06-09 15:23:07 root] epoch: 9, train_loss: 0.036491607300043104, test_loss: 0.035553549498319625, best_test_loss: 0.035553549498319625
[24-06-09 15:23:55 root] epoch: 10, train_loss: 0.03557721038937569, test_loss: 0.04457596738338471, best_test_loss: 0.035553549498319625
[24-06-09 15:24:44 root] epoch: 11, train_loss: 0.03529752007365227, test_loss: 0.03496998267769814, best_test_loss: 0.03496998267769814
[24-06-09 15:25:30 root] epoch: 12, train_loss: 0.034431849241256716, test_loss: 0.035375103068351746, best_test_loss: 0.03496998267769814
[24-06-09 15:26:14 root] epoch: 13, train_loss: 0.03406970022201538, test_loss: 0.047751757204532626, best_test_loss: 0.03496998267769814
[24-06-09 15:27:00 root] epoch: 14, train_loss: 0.035073442689180376, test_loss: 0.033707240682840346, best_test_loss: 0.033707240682840346
[24-06-09 15:27:45 root] epoch: 15, train_loss: 0.03372145659208298, test_loss: 0.034881332248449325, best_test_loss: 0.033707240682840346
[24-06-09 15:28:32 root] epoch: 16, train_loss: 0.03366132132172585, test_loss: 0.0433894597530365, best_test_loss: 0.033707240682840346
[24-06-09 15:29:18 root] epoch: 17, train_loss: 0.033845713859796525, test_loss: 0.03333153023719788, best_test_loss: 0.03333153023719788
[24-06-09 15:30:04 root] epoch: 18, train_loss: 0.032880875980854034, test_loss: 0.03579656550884247, best_test_loss: 0.03333153023719788
[24-06-09 15:30:50 root] epoch: 19, train_loss: 0.03221964859604835, test_loss: 0.08229156631231307, best_test_loss: 0.03333153023719788
[24-06-09 15:31:36 root] epoch: 20, train_loss: 0.032584235812425616, test_loss: 0.032543904227018354, best_test_loss: 0.032543904227018354
[24-06-09 15:32:21 root] epoch: 21, train_loss: 0.031220909949541093, test_loss: 0.10974695941209793, best_test_loss: 0.032543904227018354
[24-06-09 15:33:08 root] epoch: 22, train_loss: 0.031599741101264955, test_loss: 0.031754413133859634, best_test_loss: 0.031754413133859634
[24-06-09 15:33:56 root] epoch: 23, train_loss: 0.030140692329406738, test_loss: 0.03165208535790443, best_test_loss: 0.03165208535790443
[24-06-09 15:34:43 root] epoch: 24, train_loss: 0.029513266851902007, test_loss: 0.03273987742066383, best_test_loss: 0.03165208535790443
[24-06-09 15:35:30 root] epoch: 25, train_loss: 0.028994119903445244, test_loss: 0.02951287253499031, best_test_loss: 0.02951287253499031
[24-06-09 15:36:18 root] epoch: 26, train_loss: 0.028540712932944298, test_loss: 0.03177438235282898, best_test_loss: 0.02951287253499031
[24-06-09 15:37:05 root] epoch: 27, train_loss: 0.02802839982032776, test_loss: 0.031520608162879944, best_test_loss: 0.02951287253499031
